preferences_centrum_entrance_billed,preferences_centrum_entrance_for_eco_vehicles,prefences_pt_transit_priority,prefences_prefered_travel_mode,prefences_pt_comfort,prefences_pt_cleanliness,prefences_pt_punctuality,prefences_bicyle_infrastructure_improvemets,prefences_walk_wrong_intersection_lights,prefences_walk_no_sidewalk,prefences_walk_bad_surface,prefences_walk_blocked_sidewalks,prefences_walk_car_danger,preferences_walk_bike_danger,preferences_walk_tall_curbs,preferences_walk_no_cleaning_snow_removal,preferences_walk_insufficient_number_pedestrain_crossing,preferences_walk_no_resting_place,preferences_walk_heavy_traffic,preferences_walk_insufficient_lighting,preferences_walk_no_inconvenience,house_total_person_number,house_over_6_person_number,house_owned_car_number,house_lent_car_number,house_company_car_number,house_bicycle_number,respondent_age,respondent_sex,respondent_primary_job,respondent_physical_condition,respondent_provides_care,respondent_has_driving_license,respondent_has_season_ticket,respondent_has_pt_discount,total_travel_time,part_of_day,travel_mode,travel_distance
1,4,4,0,3,2,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,4.0,4.0,1.0,0.0,0.0,4.0,3,0,2,1,1,1,1,0.0,45,3,1,0.0
1,4,3,0,2,3,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,4.0,4.0,1.0,0.0,0.0,4.0,3,1,2,1,1,1,0,0.0,15,1,2,0.0
1,4,3,0,2,3,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,4.0,4.0,1.0,0.0,0.0,4.0,3,1,2,1,1,1,0,0.0,5,2,2,2371.460152445642
0,4,4,0,3,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,0.0,0.0,2.0,1,0,2,1,0,1,0,0.0,10,2,0,2371.460152445642
0,4,4,0,3,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,0.0,0.0,2.0,1,0,2,1,0,1,0,0.0,10,2,0,355.85363333285693
0,4,4,1,3,4,4,2,0,0,0,0,1,0,1,0,0,0,1,0,0,3.0,3.0,0.0,0.0,0.0,1.0,5,1,0,0,0,0,0,0.5,15,2,2,355.85363333285693
0,4,4,0,2,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,3.0,3.0,1.0,0.0,0.0,2.0,1,1,4,1,0,0,1,0.5,35,3,1,2586.6385881988213
4,2,4,0,3,3,2,3,1,0,1,0,0,0,0,0,0,0,1,0,0,2.0,2.0,0.0,0.0,0.0,1.0,4,1,3,1,0,0,0,0.0,15,3,2,2586.6385881988213
4,2,4,0,3,3,2,3,1,0,1,0,0,0,0,0,0,0,1,0,0,2.0,2.0,0.0,0.0,0.0,1.0,4,1,3,1,0,0,0,0.0,15,3,2,759.7693348710437
0,4,4,0,2,2,3,3,0,0,1,1,0,0,0,1,0,0,0,0,0,3.0,3.0,1.0,0.0,0.0,1.0,3,0,5,1,1,1,0,0.0,15,1,0,759.7693348710437
4,4,4,0,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,2.0,1.0,0.0,0.0,2.0,4,1,1,1,0,1,1,0.0,45,2,1,661.4302213544339
4,4,4,0,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,2.0,1.0,0.0,0.0,2.0,4,0,1,1,0,1,1,0.0,20,2,0,661.4302213544339
4,4,4,0,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,2.0,1.0,0.0,0.0,2.0,4,0,1,1,0,1,1,0.0,20,2,0,292.7133567190616
0,0,4,0,3,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,2.0,0.0,0.0,0.0,1,1,4,1,0,1,1,0.5,15,2,1,292.7133567190616
0,0,4,0,3,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,2.0,0.0,0.0,0.0,1,1,4,1,0,1,1,0.5,20,3,1,4396.219663514593
4,4,4,0,3,3,3,4,0,0,1,0,0,1,0,0,1,0,0,0,0,3.0,3.0,0.0,0.0,0.0,1.0,2,1,4,1,0,1,1,0.5,30,1,1,4396.219663514593
4,4,4,0,3,3,3,4,0,0,1,0,0,1,0,0,1,0,0,0,0,3.0,3.0,0.0,0.0,0.0,1.0,2,1,4,1,0,1,1,0.5,30,3,1,486.3273540341857
2,4,4,0,2,1,2,4,1,0,0,0,0,1,0,0,1,0,0,0,0,4.0,4.0,2.0,0.0,0.0,1.0,2,1,2,1,0,0,1,0.0,20,1,1,486.3273540341857
2,4,4,0,2,1,2,4,1,0,0,0,0,1,0,0,1,0,0,0,0,4.0,4.0,2.0,0.0,0.0,1.0,2,1,2,1,0,0,1,0.0,35,3,1,4226.633447053519
4,4,4,0,3,1,3,4,1,0,0,0,0,1,0,0,1,0,0,0,0,4.0,4.0,2.0,0.0,0.0,1.0,4,1,3,1,0,1,0,0.0,30,2,2,4226.633447053519
4,4,4,0,3,1,3,4,1,0,0,0,0,1,0,0,1,0,0,0,0,4.0,4.0,2.0,0.0,0.0,1.0,4,1,3,1,0,1,0,0.0,30,2,2,1765.0631699278586
1,4,4,0,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,2.0,0.0,0.0,0.0,0.0,2,1,4,1,0,1,0,0.5,25,1,1,1765.0631699278586
1,4,4,0,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,2.0,0.0,0.0,0.0,0.0,2,1,4,1,0,1,0,0.5,20,2,1,1765.0631699278586
4,4,1,0,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,4.0,2.0,0.0,0.0,2.0,3,0,2,1,0,1,0,0.0,20,3,0,1765.0631699278586
